Origin,Destination,Service_Type_ID,Price_Per_KG,Min_Weight_KG
JAKARTA,ALOR,1,105000,10
JAKARTA,AMBON,1,67000,10
JAKARTA,AMPANA,1,62000,10
JAKARTA,ASMAT,1,166000,10
JAKARTA,BAJAWA,1,112000,10
JAKARTA,BALIKPAPAN,1,40000,10
JAKARTA,BANDA ACEH,1,40000,10
JAKARTA,BANJARMASIN,1,32000,10
JAKARTA,BANYUWANGI,1,31000,10
JAKARTA,BATAM,1,39000,10
JAKARTA,BAUBAU,1,91000,10
JAKARTA,BENGKULU,1,34000,10
JAKARTA,BERAU,1,78000,10
JAKARTA,BIAK,1,106000,10
JAKARTA,BIMA,1,53000,10
JAKARTA,BUOL,1,86000,10
JAKARTA,DEKAI,1,137000,10
JAKARTA,DENPASAR,1,24000,10
JAKARTA,DOBO,1,112000,10
JAKARTA,ENDE,1,91000,10
JAKARTA,GALELA,1,96000,10
JAKARTA,GORONTALO,1,48000,10
JAKARTA,HALMAHERA,1,110000,10
JAKARTA,JAMBI,1,28000,10
JAKARTA,JAYAPURA,1,94000,10
JAKARTA,JOGJAKARTA,1,32000,10
JAKARTA,KAIMANA,1,144000,10
JAKARTA,KEDIRI,1,31000,10
JAKARTA,KENDARI,1,49000,10
JAKARTA,KERINCI,1,48000,10
JAKARTA,KETAPANG,1,63000,10
JAKARTA,KOTABARU,1,57000,10
JAKARTA,KULON PROGO,1,20000,10
JAKARTA,KUPANG,1,68000,10
JAKARTA,LABUAN BAJO,1,72000,10
JAKARTA,LABUHA,1,110000,10
JAKARTA,LARANTUKA,1,105000,10
JAKARTA,LASIKIN,1,67000,10
JAKARTA,LHOKSEMAWE,1,54000,10
JAKARTA,LOMBOK,1,37000,10
JAKARTA,LUWUK,1,75000,10
JAKARTA,MALANG,1,29000,10
JAKARTA,MALEO,1,53000,10
JAKARTA,MALINAU,1,83000,10
JAKARTA,MANADO,1,47000,10
JAKARTA,MANGGARAI,1,86000,10
JAKARTA,MANOKWARI,1,123000,10
JAKARTA,MAUMERE,1,86000,10
JAKARTA,MEDAN,1,39000,10
JAKARTA,MERAUKE,1,106000,10
JAKARTA,MEULABOH,1,67000,10
JAKARTA,MOROTAI,1,117000,10
JAKARTA,MOROWALI,1,78000,10
JAKARTA,MUARA TEWEH,1,59000,10
JAKARTA,NABIRE,1,158000,10
JAKARTA,NAMLEA,1,105000,10
JAKARTA,NATUNA,1,83000,10
JAKARTA,PADANG,1,39000,10
JAKARTA,PALANGKARAYA,1,45000,10
JAKARTA,PALEMBANG,1,22000,10
JAKARTA,PALU,1,52000,10
JAKARTA,PANGKAL BUN,1,44000,10
JAKARTA,PANGKAL PINANG,1,28000,10
JAKARTA,PEKANBARU,1,39000,10
JAKARTA,PONTIANAK,1,32000,10
JAKARTA,POSO,1,82000,10
JAKARTA,PUTUSIBAU,1,66000,10
JAKARTA,RAHA,1,86000,10
JAKARTA,RAJA AMPAT,1,117000,10
JAKARTA,SABANG,1,49000,10
JAKARTA,SAMARINDA,1,47000,10
JAKARTA,SAMPIT,1,66000,10
JAKARTA,SANGIA NIBANDERA,1,82000,10
JAKARTA,SAUMLAKI,1,119000,10
JAKARTA,SELAYAR,1,56000,10
JAKARTA,SEMARANG,1,30000,10
JAKARTA,SILANGIT,1,36000,10
JAKARTA,SINGKAWANG,1,37000,10
JAKARTA,SOLO,1,29000,10
JAKARTA,SORONG,1,102000,10
JAKARTA,SUMBAWA,1,50000,10
JAKARTA,SURABAYA,1,27000,10
JAKARTA,TAMBALOKA,1,95000,10
JAKARTA,TANJUNG KARANG,1,34000,10
JAKARTA,TANJUNG PANDAN,1,36000,10
JAKARTA,TANJUNG PINANG,1,37000,10
JAKARTA,TANJUNG SELOR,1,86000,10
JAKARTA,TARAKAN,1,63000,10
JAKARTA,TERNATE,1,85000,10
JAKARTA,TOBELO,1,114000,10
JAKARTA,TOLI - TOLI,1,96000,10
JAKARTA,TORAJA,1,72000,10
JAKARTA,TUAL,1,117000,10
JAKARTA,UJUNG PANDANG,1,45000,10
JAKARTA,WAINGAPU,1,93000,10
JAKARTA,WAKATOBI,1,62000,10
JAKARTA,WAMENA,1,143000,10
JAKARTA,WONOPITO,1,109000,10
